蜹	蚋
蜺	霓
蝋	蠟
蝨	虱
蝴	胡
蝿	蠅
螗	螳
螢	蛍
螳	螗
螵	蜱
螺	螺
蟁	蚊
蟇	蟆
蟒	蠎
蠁	蚃
蠎	蟒
蠏	蟹
蠢	惷
蠧	蠹
蠹	蠧
衄	衂
衆	眾
行	行
街	亍
衞	衛
袅	嬝
袖	褎
袴	褲
裂	裂
裊	嬝
裏	里
裙	帬
裠	裙
裴	裵
裵	裴
裸	裸
複	復
褒	襃
褓	褴
褲	綯
褴	褓
襃	褒
襕	襴
襤	襤
襪	韈
襴	幱
襾	西
西	覀
覀	西
覆	復
覇	霸
覈	核
覉	羈
覊	羈
規	槻
覙	覼
覚	覺
観	觀
覵	覸
覸	覵
覺	覚
覽	覧
觀	覌
角	甪
觔	斤
觝	牴
解	觧
觧	解
言	訁
訛	譌
訳	譯
訶	呵
証	證
詟	讋
詧	察
詶	酬
詻	咯
誒	唉
說	説
説	說
読	讀
諌	諫
論	論
諠	喧
諩	譜
諮	咨
謡	謠
謼	呼
譁	哗
譌	訛
譟	噪
譯	訳
譱	善
譲	讓
譾	謭
讀	讀
讃	讚
讅	谉
讆	讏
讋	詟
讌	燕
讎	仇
讐	仇
讙	歡
讚	讃
讠	言
诃	呵
诶	唉
诸	諸
谉	讅
谘	咨
谣	謠
谫	謭
豊	豐
豐	豊
豔	艶
豜	豣
豣	豜
豫	予
豺	犲
貉	狢
貊	貘
貌	皃
貘	貊
貭	質
貮	二
貳	二
賉	恤
賊	戝
賔	賓
賛	贊
賣	売
質	貭
賬	帳
賸	剩
贊	賛
贗	贋
贜	贓
账	帳
贰	二
赝	贋
走	赱
赱	走
趁	趂
趂	趁
跥	跺
路	路
跺	跥
踨	蹤
蹟	跡
蹤	踨
躗	躛
躛	躗
躭	耽
躰	體
躱	躲
躲	躱
軆	體
転	轉
軣	轟
軽	輕
軿	輧
輌	輛
輛	輌
輦	輦
輧	軿
輪	輪
輻	輻
輼	轀
轉	転
轢	轢
辟	避
辠	罪
辢	辣
辣	辢
辧	辨
辨	弁
辰	辰
辺	邊
迂	遇
迥	逈
迨	逮
迬	往
迭	疊
迯	逃
迳	徑
迴	回
迺	乃
逃	迯
逓	遞
逕	徑
連	連
逥	回
逩	奔
逮	迨
逰	游
逸	逸
逹	達
逺	遠
遅	遲
遊	游
遍	徧
遑	徨
遞	逓
遟	遲
遠	逺
遡	溯
遲	遅
遼	遼
避	辟
邉	邊
邏	邏
邑	阝
邢	郉
郄	隙
郅	胝
郉	邢
郎	郞
郞	郎
部	卩
郷	鄉
都	都
鄕	鄉
鄰	隣
鄷	酆
酆	鄷
酉	丣
酔	醉
酝	醞
酢	醋
酧	酬
酪	酪
酬	酧
醉	酔
醋	酢
醖	醞
醗	醱
醤	醬
醴	醴
醻	酬
醼	燕
釀	醸
釆	采
采	釆
釈	釋
里	裏
野	埜
量	量
金	钅
釖	劍
釜	釡
釡	釜
釼	劍
鈎	鉤
鈡	鍾
鈬	鐸
鈴	鈴
鉅	巨
鉗	箝
鉤	鈎
鉱	礦
銕	鐵
銭	錢
銳	鋭
銹	鏽
鋄	錽
鋭	銳
鋳	鑄
錄	録
錬	煉
録	錄
錽	鋄
鍊	鍊
鍛	煅
鍾	钟
鎔	熔
鎭	鎮
鏁	鎖
鏟	剗
鏽	銹
鐘	鍾
鐡	鐵
鐸	鈬
鑑	鑒
鑒	鑑
鑛	礦
鑵	罐
钂	镋
钅	金
钖	锡
钜	巨
钩	鉤
钳	箝
钵	缽
锈	鏽
锐	銳
镋	钂
镚	錋
閇	閉
閉	閇
閙	鬧
関	關
閤	合
閧	哄
閭	閭
閱	閲
閲	閱
闇	暗
闔	閤
闗	關
闘	鬥
闫	閻
阅	閱
阖	閤
阜	阝
阝	邑
阨	厄
